Désignation;Type de médicament;Laboratoire
METFORMINE BIOGARAN 1000 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
METFORMINE BLUEFISH 500 mg  comprimé pelliculé;comprimé pelliculé;BLUEFISH PHARMACEUTICALS (SUEDE)
METFORMINE BLUEFISH 850 mg  comprimé pelliculé;comprimé pelliculé;BLUEFISH PHARMACEUTICALS (SUEDE)
METFORMINE CRISTERS 1000 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
METFORMINE CRISTERS 500 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
METFORMINE CRISTERS 850 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
METFORMINE EG 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;EG LABO - LABORATOIRES EUROGENERICS
METFORMINE EG 500 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
METFORMINE EG 850 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
METFORMINE EVOLUGEN 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;EVOLUPHARM
METFORMINE EVOLUGEN 500 mg  comprimé pelliculé;comprimé pelliculé;EVOLUPHARM
METFORMINE EVOLUGEN 850 mg  comprimé pelliculé;comprimé pelliculé;EVOLUPHARM
METFORMINE ISOMED 1000 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE ISOMED 500 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE ISOMED 850 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE MYLAN 1000 mg  comprimé dispersible;comprimé dispersible;MYLAN SAS
METFORMINE MYLAN 500 mg  comprimé dispersible;comprimé dispersible;MYLAN SAS
METFORMINE MYLAN 850 mg  comprimé dispersible;comprimé dispersible;MYLAN SAS
METFORMINE MYLAN PHARMA 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;MYLAN SAS
METFORMINE MYLAN PHARMA 500 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
METFORMINE MYLAN PHARMA 850 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
METFORMINE PHR LAB 1000 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE PHR LAB 500 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE PHR LAB 850 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE RANBAXY 1000 mg  comprimé pelliculé;comprimé pelliculé;BLUEFISH PHARMACEUTICALS (SUEDE)
METFORMINE RANBAXY 500 mg  comprimé pelliculé;comprimé pelliculé;RANBAXY PHARMACIE GENERIQUES
METFORMINE RANBAXY 850 mg  comprimé pelliculé;comprimé pelliculé;RANBAXY PHARMACIE GENERIQUES
METFORMINE RATIOPHARM 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;RATIOPHARM (ALLEMAGNE)
METFORMINE RATIOPHARM 500 mg  comprimé pelliculé;comprimé pelliculé;RATIOPHARM (ALLEMAGNE)
METFORMINE RATIOPHARM 850 mg  comprimé pelliculé;comprimé pelliculé;RATIOPHARM (ALLEMAGNE)
METFORMINE RPG 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;RANBAXY PHARMACIE GENERIQUES
METFORMINE SANDOZ 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;SANDOZ
METFORMINE SANDOZ 500 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
METFORMINE SANDOZ 850 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
METFORMINE TEVA 1000 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE TEVA 500 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE TEVA 850 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
METFORMINE ZENTIVA 1000 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
METFORMINE ZENTIVA 500 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
METFORMINE ZENTIVA 850 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
METFORMINE ZYDUS 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ZYDUS FRANCE
METFORMINE ZYDUS 500 mg  comprimé pelliculé;comprimé pelliculé;ZYDUS FRANCE
METFORMINE ZYDUS FRANCE 850 mg  comprimé pelliculé;comprimé pelliculé;ZYDUS FRANCE
METHADONE AP-HP 1 mg  gélule;gélule;ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS - AP-HP
METHADONE AP-HP 1 33 mg/ml  sirop;sirop;ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS - AP-HP
METHADONE AP-HP 10 mg  gélule;gélule;ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS - AP-HP
METHADONE AP-HP 20 mg  gélule;gélule;ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS - AP-HP
METHADONE AP-HP 40 mg  gélule;gélule;ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS - AP-HP
METHADONE AP-HP 5 mg  gélule;gélule;ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS - AP-HP
METHERGIN 0 20 mg/1 ml  solution injectable  ampoule;solution injectable;NOVARTIS PHARMA
METHOTREXATE ACCORD 50 mg/mL  solution injectable en seringue préremplie;solution injectable;ACCORD HEALTHCARE FRANCE
METHOTREXATE BELLON 2 5 mg  comprimé;comprimé;SANOFI AVENTIS FRANCE
METHOTREXATE BIODIM 25 mg/1mL  solution injectable;solution injectable;NEURAXPHARM FRANCE
METHOTREXATE BIODIM 5 mg/2mL  solution injectable;solution injectable;NEURAXPHARM FRANCE
METHOTREXATE MYLAN 100 mg/ml  solution injectable;solution injectable;MYLAN SAS
METHOTREXATE MYLAN 2 5 mg/ml  solution injectable;solution injectable;MYLAN SAS
METHOTREXATE MYLAN 25 mg/ml  solution injecable;solution injectable;MYLAN SAS
METHOTREXATE MYLAN 50 mg/2 ml  solution injectable;solution injectable;MYLAN SAS
METHOTREXATE TEVA 10 POUR CENT (1 g/10 mL)  solution injectable;solution injectable;TEVA SANTE
METHOTREXATE TEVA 10 POUR CENT (5 g/50 mL)  solution injectable;solution injectable;TEVA SANTE
METHOTREXATE TEVA 2 5 POUR CENT (50 mg/2 mL)  solution injectable;solution injectable;TEVA SANTE
METHOTREXATE TEVA 2 5 POUR CENT (500 mg/20 mL)  solution injectable;solution injectable;TEVA SANTE
METHYLPHENIDATE MYLAN PHARMA LP 18 mg  comprimé à libération prolongée;comprimé à libération prolongée;MYLAN SAS
METHYLPHENIDATE MYLAN PHARMA LP 36 mg  comprimé à libération prolongée;comprimé à libération prolongée;MYLAN SAS
METHYLPHENIDATE MYLAN PHARMA LP 54 mg  comprimé à libération prolongée;comprimé à libération prolongée;MYLAN SAS
METHYLPREDNISOLONE MYLAN 1 g  poudre pour solution injectable (IV);poudre pour solution injectable;MYLAN SAS
METHYLPREDNISOLONE MYLAN 120 mg  poudre pour solution injectable (IM-IV);poudre pour solution injectable;MYLAN SAS
METHYLPREDNISOLONE MYLAN 20 mg  poudre pour solution injectable (IM-IV);poudre pour solution injectable;MYLAN SAS
METHYLPREDNISOLONE MYLAN 40 mg  poudre pour solution injectable (IM-IV);poudre pour solution injectable;MYLAN SAS
METHYLPREDNISOLONE MYLAN 500 mg  poudre pour solution injectable;poudre pour solution injectable;MYLAN SAS
METOCALCIUM 600 mg/400 UI  comprimé à croquer;comprimé à croquer;ROTTAPHARM
METOCLOPRAMIDE MYLAN 10 mg  comprimé sécable;comprimé sécable;MYLAN SAS
METOCLOPRAMIDE SANDOZ 10 mg  comprimé sécable;comprimé sécable;SANDOZ
METOJECT 10 mg/0 2 ml  solution injectable en seringue préremplie;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 10 mg/0 20 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 12 5 mg/0 25 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 15 mg/0 3 ml  solution injectable en seringue préremplie;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 15 mg/0 30 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 17 5 mg/0 35 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 20 mg/0 4 ml  solution injectable en seringue préremplie;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 20 mg/0 40 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 22 5 mg/0 45 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 25 mg/0 5 ml  solution injectable en seringue préremplie;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 25 mg/0 50 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 27 5 mg/0 55 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 30 mg/0 60 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 7 5 mg/0 15 ml  solution injectable en seringue préremplie;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOJECT 7 5 mg/0 15 ml  solution injectable en stylo prérempli;solution injectable;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
METOPIRONE 250 mg  capsule;capsule;HRA PHARMA
METOPROLOL ACCORD 100 mg  comprimé sécable;comprimé sécable;ACCORD HEALTHCARE FRANCE
METOPROLOL ACCORD 50 mg  comprimé;comprimé;ACCORD HEALTHCARE FRANCE
METOPROLOL ARROW 100 mg  comprimé sécable;comprimé sécable;ARROW GENERIQUES
METOPROLOL MYLAN 100 mg  comprimé sécable;comprimé sécable;MYLAN SAS
METOPROLOL SANDOZ 100 mg  comprimé;comprimé;SANDOZ
METOPROLOL SANDOZ 50 mg  comprimé;comprimé;SANDOZ
METROCOL 4 5 mg  éponge pour usage dentaire;éponge pour usage dentaire;LABORATOIRE ATO-ZIZINE
METROGENE 4 5 mg  éponge pour usage dentaire;éponge pour usage dentaire;SEPTODONT
METRONIDAZOLE B BRAUN 0 5 %  solution pour perfusion;solution pour perfusion;B BRAUN MEDICAL
METRONIDAZOLE BAXTER 0 5 POUR CENT  solution injectable en poche;solution injectable;BAXTER
METRONIDAZOLE BIOGARAN 250 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
METRONIDAZOLE BIOGARAN 500 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
METRONIDAZOLE GERDA 250 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES GERDA
METRONIDAZOLE GERDA 500 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES GERDA
METRONIDAZOLE LAVOISIER 0 5 POUR CENT (500 mg/100 ml)  solution injectable pour perfusion;solution injectable pour perfusion;CHAIX ET DU MARAIS
METRONIDAZOLE MACO PHARMA 0 5 POUR CENT (500 mg/100 ml)  solution pour perfusion;solution pour perfusion;MACO PHARMA
METVIXIA 168 mg/g  crème;crème;GALDERMA INTERNATIONAL
MEXILETINE AP-HP 200 mg  gélule;gélule;ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS - AP-HP
MEZEREUM BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MEZEREUM LEHNING  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MEZEREUM WELEDA  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
MIACALCIC 50 U.I./1 ml  solution injectable ou pour perfusion;solution injectable ou pour perfusion;ESSENTIAL PHARMA (M) (MALTE)
MIANSERINE ARROW 10 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
MIANSERINE ARROW 30 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ARROW GENERIQUES
MIANSERINE ARROW 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ARROW GENERIQUES
MIANSERINE BIOGARAN 10 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
MIANSERINE BIOGARAN 30 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
MIANSERINE BIOGARAN 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;BIOGARAN
MIANSERINE CRISTERS 10 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
MIANSERINE CRISTERS 30 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;CRISTERS
MIANSERINE CRISTERS 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;CRISTERS
MIANSERINE EG 10 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
MIANSERINE EG 30 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;EG LABO - LABORATOIRES EUROGENERICS
MIANSERINE EG 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;EG LABO - LABORATOIRES EUROGENERICS
MIANSERINE MYLAN 10 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
MIANSERINE MYLAN 30 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
MIANSERINE MYLAN 60 mg  comprimé enrobé sécable;comprimé enrobé sécable;MYLAN SAS
MIANSERINE RATIOPHARM 10 mg  comprimé pelliculé;comprimé pelliculé;RATIOPHARM (ALLEMAGNE)
MIANSERINE RATIOPHARM 30 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;RATIOPHARM (ALLEMAGNE)
MIANSERINE RATIOPHARM 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;RATIOPHARM (ALLEMAGNE)
MIANSERINE RPG 10 mg  comprimé pelliculé;comprimé pelliculé;RANBAXY PHARMACIE GENERIQUES
MIANSERINE RPG 30 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;RANBAXY PHARMACIE GENERIQUES
MIANSERINE RPG 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;RANBAXY PHARMACIE GENERIQUES
MIANSERINE SANDOZ 10 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
MIANSERINE SANDOZ 30 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;SANDOZ
MIANSERINE SANDOZ 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;SANDOZ
MIANSERINE TEVA 10 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
MIANSERINE TEVA 30 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;TEVA SANTE
MIANSERINE TEVA 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;TEVA SANTE
MIANSERINE ZENTIVA 10 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
MIANSERINE ZENTIVA 30 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ZENTIVA FRANCE
MIANSERINE ZENTIVA 60 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ZENTIVA FRANCE
MIBG [123 I]  solution injectable;solution injectable;MALLINCKRODT MEDICAL (PAYS-BAS)
MIBITEC  poudre pour solution injectable. Trousse pour préparation radiopharmaceutique;trousse pour préparation radiopharmaceutique;GIPHARMA (ITALIE)
MICARDIS 20 mg  comprimé;comprimé;BOEHRINGER INGELHEIM INTERNATIONAL
MICARDIS 40 mg  comprimé;comprimé;BOEHRINGER INGELHEIM INTERNATIONAL
MICARDIS 80 mg  comprimé;comprimé;BOEHRINGER INGELHEIM INTERNATIONAL
MICARDISPLUS 40 mg/12 5 mg  comprimé;comprimé;BOEHRINGER INGELHEIM INTERNATIONAL
MICARDISPLUS 80 mg/12 5 mg  comprimé;comprimé;BOEHRINGER INGELHEIM INTERNATIONAL
MICARDISPLUS 80 mg/25 mg  comprimé;comprimé;BOEHRINGER INGELHEIM INTERNATIONAL
MICROLAX BEBE SORBITOL CITRATE ET LAURILSULFOACETATE DE SODIUM  solution rectale en récipient unidose;solution;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
MICROLAX MACROGOL 5 9 g  poudre pour solution buvable;poudre pour solution buvable;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
MICROLAX SORBITOL CITRATE ET LAURILSULFOACETATE DE SODIUM  solution rectale en récipient unidose;solution;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
MICROPAKINE L.P. 100 mg  granulés à libération prolongée en sachet-dose;granulés à libération prolongée;SANOFI AVENTIS FRANCE
MICROPAKINE L.P. 1000 mg  granulés à libération prolongée en sachet-dose;granulés à libération prolongée;SANOFI AVENTIS FRANCE
MICROPAKINE L.P. 250 mg  granulés à libération prolongée en sachet-dose;granulés à libération prolongée;SANOFI AVENTIS FRANCE
MICROPAKINE L.P. 500 mg  granulés à libération prolongée en sachet-dose;granulés à libération prolongée;SANOFI AVENTIS FRANCE
MICROPAKINE L.P. 750 mg  granulés à libération prolongée en sachet-dose;granulés à libération prolongée;SANOFI AVENTIS FRANCE
MICROPAQUE SCANNER  suspension buvable à diluer;suspension buvable à diluer;GUERBET
MICROPAQUE  suspension buvable ou rectale;suspension buvable ou;GUERBET
MICROTRAST  pâte orale;pâte;GUERBET
MICROVAL  comprimé enrobé;comprimé enrobé;PFIZER HOLDING FRANCE
MIDAZOLAM ACCORD 1 mg/ml  solution injectable;solution injectable;ACCORD HEALTHCARE FRANCE
MIDAZOLAM ACCORD 5 mg/ml  solution injectable;solution injectable;ACCORD HEALTHCARE FRANCE
MIDAZOLAM AGUETTANT 1 mg/ml  solution injectable;solution injectable;AGUETTANT
MIDAZOLAM AGUETTANT 5 mg/ml  solution injectable;solution injectable;AGUETTANT
MIDAZOLAM MYLAN 1 mg/ml  solution injectable (IM-IV) ou rectale;solution injectable ou;MYLAN SAS
MIDAZOLAM MYLAN 5 mg/ml  solution injectable (IM-IV) ou rectale;solution injectable ou;MYLAN SAS
MIDAZOLAM PANPHARMA 1 mg/ml  solution injectable;solution injectable;PANPHARMA
MIDAZOLAM PANPHARMA 5 mg/ml  solution injectable;solution injectable;PANPHARMA
MIDODRINE BIOGARAN 2 5 mg  comprimé;comprimé;BIOGARAN
MIFEGYNE 200 mg  comprimé;comprimé;NORDIC GROUP (PAYS-BAS)
MIFFEE 200 mg  comprimé;comprimé;AMRING
MIFLASONE 100 microgrammes  poudre pour inhalation en gélule;poudre pour inhalation en gélule;NOVARTIS PHARMA
MIFLASONE 200 microgrammes  poudre pour inhalation en gélule;poudre pour inhalation en gélule;NOVARTIS PHARMA
MIFLASONE 400 microgrammes  poudre pour inhalation en gélule;poudre pour inhalation en gélule;NOVARTIS PHARMA
MIFLONIL 200 microgrammes  poudre pour inhalation en gélule;poudre pour inhalation en gélule;NOVARTIS PHARMA
MIFLONIL 400 microgrammes  poudre pour inhalation en gélule;poudre pour inhalation en gélule;NOVARTIS PHARMA
MIGLUSTAT GEN.ORPH 100 mg  gélule;gélule;GEN.ORPH
MIGPRIV  poudre pour solution buvable en sachet;poudre pour solution buvable;COOPER
MIGRALGINE  gélule;gélule;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
MIKICORT 3 mg  gélule gastro-résistante;gélule gastro-résistant(e);LABORATOIRES MAYOLY SPINDLER
MIKICORT 9 mg  granulés gastro-résistants;granulés gastro-résistant(e);LABORATOIRES MAYOLY SPINDLER
MILDAC 300 mg  comprimé enrobé;comprimé enrobé;WILLMAR SCHWABE
MILDAC 600 mg  comprimé enrobé;comprimé enrobé;WILLMAR SCHWABE
MILEVONI 100 microgrammes/20 microgrammes  comprimé enrobé;comprimé enrobé;LABORATOIRE CCD
MILEVONI 150 microgrammes/30 microgrammes  comprimé enrobé;comprimé enrobé;LABORATOIRE CCD
MILLEFOLIUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MILLEFOLIUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MILLEFOLIUM WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  crème et  solution en gouttes en gouttes;WELEDA
MILLEPERTUIS PILEJE  comprimé enrobé;comprimé enrobé;PILEJE
MILNACIPRAN ARROW 25 mg  gélule;gélule;ARROW GENERIQUES
MILNACIPRAN ARROW 50 mg  gélule;gélule;ARROW GENERIQUES
MILNACIPRAN BIOGARAN 25 mg  gélule;gélule;BIOGARAN
MILNACIPRAN BIOGARAN 50 mg  gélule;gélule;BIOGARAN
MILRINONE CARINOPHARM 1 mg/ml  solution injectable/pour perfusion;solution injectable pour perfusion;CARINOPHARM (ALLEMAGNE)
MILRINONE MEDAC 10 mg/10 ml  solution injectable;solution injectable;MEDAC
MILRINONE PANPHARMA 1 mg/ml  solution injectable/pour perfusion;solution injectable pour perfusion;BAXTER HOLDING (PAYS-BAS)
MILRINONE STRAGEN 1 mg/ml  solution injectable;solution injectable;STRAGEN-FRANCE
MIMPARA 1 mg  granulés en gélule;granulés en gélule;AMGEN EUROPE
MIMPARA 2 5 mg  granulés en gélule;granulés en gélule;AMGEN EUROPE
MIMPARA 30 mg  comprimé pelliculé;comprimé pelliculé;AMGEN EUROPE
MIMPARA 5 mg  granulés en gélule;granulés en gélule;AMGEN EUROPE
MIMPARA 60 mg  comprimé pelliculé;comprimé pelliculé;AMGEN EUROPE
